term,annotation,p_value,adj_p_value,enrichment,size
wiki_pathway,Chronic hyperglycemia impairment of neuron function,0.008701984775194273,1,2.222705949077888,4
wiki_pathway,Regulation of actin cytoskeleton,0.009071840822369002,1,1.4335932067767292,51
wiki_pathway,Nanomaterial induced apoptosis,0.009510756867030474,1,1.933398223754132,11
wiki_pathway,Unfolded protein response,0.010479096970614842,1,3.071455634175428,6
wiki_pathway,ncRNAs involved in STAT3 signaling in hepatocellular carcinoma,0.010791963722174613,1,-1.0195989011838773,3
wiki_pathway,One-carbon metabolism,0.011174256906567268,1,0.5586049312338733,12
wiki_pathway,Melanoma,0.011242775003094075,1,1.4335932067767292,25
wiki_pathway,Nonalcoholic fatty liver disease,0.012007278468437802,1,1.3173904327229224,80
wiki_pathway,TP53 network,0.012858686349025927,1,2.6719995545828445,3
wiki_pathway,Glycerolipids and glycerophospholipids,0.015569303088380003,1,2.8046941681678277,10
wiki_pathway,Overlap between signal transduction pathways contributing to LMNA laminopathies,0.015903816781995154,1,1.5230243771183762,22
wiki_pathway,Sphingolipid metabolism overview,0.016011494964646024,1,1.5003619220260147,9
wiki_pathway,Sphingolipid metabolism: integrated pathway,0.016011494964646024,1,1.5003619220260147,9
wiki_pathway,Leptin-insulin signaling overlap,0.01604769785891261,1,-0.6938690815801981,3
wiki_pathway,Mesodermal commitment pathway,0.016251427639649256,1,1.4446163973365296,30
wiki_pathway,Genes related to primary cilium development (based on CRISPR),0.01653364168987633,1,1.6879096749048752,13
wiki_pathway,Acute viral myocarditis,0.017519453783562632,1,1.508803313384233,34
wiki_pathway,Familial  hyperlipidemia type 1,0.018407956309214678,1,2.9924331516528944,3
wiki_pathway,Familial hyperlipidemia type 5,0.018407956309214678,1,2.9924331516528944,3
wiki_pathway,Apoptosis modulation and signaling,0.018969126723306983,1,1.895070471371862,12
wiki_pathway,Complement system in neuronal development and plasticity,0.019104760672944514,1,1.933398223754132,25
wiki_pathway,Autophagy,0.02014095095867502,1,0.21874250137488047,14
wiki_pathway,Host-pathogen interaction of human coronaviruses - apoptosis,0.02055114138793387,1,2.178938174957508,10
wiki_pathway,Ebola virus infection in host,0.021244573290602437,1,1.2750106263867573,64
wiki_pathway,Fas ligand pathway and stress induction of heat shock proteins,0.02217959855259988,1,1.3400660850425203,27
wiki_pathway,miRNAs involvement in the immune response in sepsis,0.02320448732842819,1,-1.0652948542925627,10
wiki_pathway,Regucalcin in proximal tubule epithelial kidney cells,0.024179655371861727,1,2.2686923823250047,9
wiki_pathway,Insulin signaling,0.025429169675019542,1,1.3831101386264768,64
wiki_pathway,Pancreatic adenocarcinoma pathway,0.026250383527260585,1,1.4926203728420813,46
wiki_pathway,AGE/RAGE pathway,0.026812322236415994,1,1.598131526054451,31
wiki_pathway,Disruption of postsynaptic signaling by CNV,0.027147756125925543,1,1.4335184806653056,10
wiki_pathway,Gastrin signaling pathway,0.02771080148908711,1,1.4335932067767292,49
wiki_pathway,Breast cancer pathway,0.028077534815563566,1,1.3868296459096248,42
wiki_pathway,Bardet-Biedl syndrome,0.030965694557312438,1,1.631860059942598,13
wiki_pathway,TGF-beta signaling in thyroid cells for epithelial-mesenchymal transition,0.03189569987525143,1,2.8882533750140214,5
wiki_pathway,Mammalian disorder of sexual development,0.03215333336635487,1,-0.9014846004468837,3
wiki_pathway,ErbB signaling pathway,0.0323444355360409,1,1.5619259377025343,38
wiki_pathway,Immune response to tuberculosis,0.03365440180812435,1,1.9134791239638629,4
wiki_pathway,lncRNA-mediated mechanisms of therapeutic resistance,0.03385032242128566,1,2.93511791532314,4
wiki_pathway,Hepatitis B infection,0.03476579669698081,1,1.5516475389074333,55
wiki_pathway,Joubert syndrome,0.034774480152194,1,1.3767512522236822,18
wiki_pathway,Familial hyperlipidemia type 4,0.03498867519654485,1,2.3665501188073614,4
wiki_pathway,Electron transport chain: OXPHOS system in mitochondria,0.03540111080126873,1,1.3130799031682232,80
wiki_pathway,Alpha 6 beta 4 signaling pathway,0.03643735517401923,1,1.5915069151556387,19
wiki_pathway,Fibrin complement receptor 3 signaling pathway,0.03752152309551946,1,-0.17807529056728943,9
wiki_pathway,NIPBL role in DNA damage - Cornelia de Lange syndrome,0.038021382838895106,1,-1.2413168372003376,3
wiki_pathway,22q11.2 copy number variation syndrome,0.039221152583920345,1,1.3563964240672426,40
wiki_pathway,"Non-genomic actions of 1,25 dihydroxyvitamin D3",0.040417042523347525,1,1.650077572223674,24
wiki_pathway,Ciliopathies,0.04289490990170303,1,1.5171096322638375,24
wiki_pathway,Cancer immunotherapy by PD-1 blockade,0.04420431273556305,1,-0.6938690815801981,3
wiki_pathway,Male infertility,0.04466188623055377,1,0.5190977532087129,34
wiki_pathway,Biosynthesis and turnover of 1-deoxy-sphingoid bases,0.04525257146805318,1,1.5003619220260147,5
wiki_pathway,Envelope proteins and their potential roles in EDMD physiopathology,0.04673846768493643,1,1.3286258237619712,24
wiki_pathway,Common pathways underlying drug addiction,0.04688479586294958,1,1.3448916957634727,19
wiki_pathway,NRF2 pathway,0.0472323403836614,1,1.39661866806078,37
wiki_pathway,"GPCRs, class C metabotropic glutamate, pheromone",0.05039285527941277,1,2.010153859153489,3
wiki_pathway,Alzheimer's disease and miRNA effects,0.05130024982444651,1,1.1683851426504885,116
wiki_pathway,Alzheimer's disease,0.05130024982444651,1,1.1683851426504885,116
wiki_pathway,Mitochondrial gene expression,0.05159068932647852,1,0.5766858246415927,11
wiki_pathway,Hippo-Yap signaling pathway,0.05256575855177426,1,2.0788549207855307,11
wiki_pathway,Ferroptosis,0.05397173493849349,1,1.2353071069946957,36
wiki_pathway,FGFR3 signaling in chondrocyte proliferation and terminal differentiation,0.05599693305510216,1,1.7666271301233618,11
wiki_pathway,Bladder cancer,0.057278609087881426,1,1.7724273469148213,16
wiki_pathway,H19 action Rb-E2F1 signaling and CDK-Beta-catenin activity,0.05876632124268388,1,-0.10796346099908073,6
wiki_pathway,Glial cell differentiation,0.060516054899356485,1,1.9301378349096532,4
wiki_pathway,DNA damage response (only ATM dependent),0.060597068012957694,1,1.572204336497635,33
wiki_pathway,Toll-like receptor signaling related to MyD88,0.061397124908948074,1,-0.034821045893733936,9
wiki_pathway,Oxidative phosphorylation,0.06666634461869095,1,1.3463235686312847,46
wiki_pathway,Influence of laminopathies on Wnt signaling,0.0671908425358594,1,1.3997682206845745,13
wiki_pathway,MECP2 and associated Rett syndrome,0.06818787752472967,1,0.6592796605564749,25
wiki_pathway,TLR4 signaling and tolerance,0.07200244494115961,1,-0.41557084613004824,6
wiki_pathway,"NAD metabolism, sirtuins and aging",0.07230495267517235,1,0.44879063546322634,6
wiki_pathway,Genes controlling nephrogenesis,0.07453654450376254,1,1.7056884376372372,8
wiki_pathway,Kisspeptin/kisspeptin receptor system in the ovary,0.0745385654586297,1,1.852898258401719,13
wiki_pathway,IL-17 signaling pathway,0.07488909693926958,1,-0.31846663063133934,10
wiki_pathway,Energy metabolism,0.07593599857416375,1,0.5766858246415927,19
wiki_pathway,Osteoblast differentiation and related diseases,0.07603267020696117,1,1.5380415503979563,23
wiki_pathway,Mitochondrial complex III assembly,0.07687954854709267,1,1.4811780048185907,15
wiki_pathway,MAPK signaling pathway,0.07728118948823985,1,1.5343443794890337,74
wiki_pathway,Bile acids synthesis and enterohepatic circulation,0.07987289152817985,1,1.8315093610348687,4
wiki_pathway,DNA mismatch repair,0.08029745975711632,1,0.7061549921631072,18
wiki_pathway,Interactions between immune cells and microRNAs in tumor microenvironment,0.08137911299535974,1,-0.6995645843450591,4
wiki_pathway,Non-small cell lung cancer,0.08224998988235606,1,1.1961546716343125,32
wiki_pathway,Physico-chemical features and toxicity-associated pathways,0.08259571426194824,1,1.572204336497635,31
wiki_pathway,Antiviral and anti-inflammatory effects of Nrf2 on SARS-CoV-2 pathway,0.08358216766684405,1,0.040432852200632675,9
wiki_pathway,Sphingolipid metabolism in senescence,0.08401032770369767,1,1.5450678866442102,10
wiki_pathway,EGF/EGFR signaling pathway,0.08697174251578572,1,1.3612623610522108,83
wiki_pathway,Folate metabolism,0.0871702012536947,1,0.5580719922716996,21
wiki_pathway,Nuclear receptors meta-pathway,0.0903081828699301,1,1.214561685723523,76
wiki_pathway,Congenital generalized lipodystrophy,0.09082479586628747,1,1.6622434418075074,7
wiki_pathway,"Relationship between inflammation, COX-2 and EGFR",0.09112375872222717,1,1.5915069151556387,9
wiki_pathway,Lung fibrosis,0.09244258181738077,1,0.23325641915463208,8
wiki_pathway,Oncostatin M signaling pathway,0.09358335130496369,1,1.4926203728420813,26
wiki_pathway,TNF-alpha signaling pathway,0.09504796192215861,1,1.3481459220301069,46
wiki_pathway,Hypothetical craniofacial development pathway,0.09536348335068065,1,2.3297231585190734,3
wiki_pathway,Translation inhibitors in chronically activated PDGFRA cells,0.09561794931146876,1,1.2055453700241239,27
wiki_pathway,TGF-beta signaling pathway,0.09591960144873782,1,1.3410959956756026,62
wiki_pathway,Endoderm differentiation,0.09595933690788841,1,1.2750984895046187,18
wiki_pathway,Endometrial cancer,0.09875356664265353,1,1.4038200444933013,26
wiki_pathway,Apoptosis modulation by HSP70,0.09888108731873624,1,1.4395836467419953,10
wiki_pathway,Thiamine metabolic pathways,0.10462280309108904,1,1.8929131177587626,5
wiki_pathway,Familial partial lipodystrophy,0.10522976544260286,1,1.5516475389074333,11
wiki_pathway,LDLRAD4 and what we know about it,0.10590997556527676,1,2.1667406623325,3
wiki_pathway,FBXL10 enhancement of MAP/ERK signaling in diffuse large B-cell lymphoma,0.10799047754398151,1,1.6511943885057316,9
wiki_pathway,ERK pathway in Huntington's disease,0.11229243981631871,1,1.6911318905327068,6
wiki_pathway,Prader-Willi and Angelman syndrome,0.11284339112279895,1,0.26735950701158506,8
wiki_pathway,Regulatory circuits of the STAT3 signaling pathway,0.11289703852181247,1,1.7434758984680765,8
wiki_pathway,Progeria-associated lipodystrophy,0.11656280918337872,1,1.3788998455957788,14
wiki_pathway,CCL18 signaling pathway,0.11684928990948998,1,1.319306871174705,40
wiki_pathway,Glioblastoma signaling pathways,0.1175700234414196,1,1.5915069151556387,35
wiki_pathway,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,0.11768628668194404,1,1.1847628707434017,27
wiki_pathway,Ethanol effects on histone modifications,0.11877221600944672,1,0.5580719922716996,11
wiki_pathway,Nod-like receptor (NLR) signaling pathway,0.12220501162290794,1,-1.0195989011838773,7
wiki_pathway,Lipid metabolism in senescent cells,0.12325228921113542,1,3.6780089812978343,3
wiki_pathway,Proximal tubule transport,0.1252095492016249,1,1.3317592657189155,18
wiki_pathway,Mechanoregulation and pathology of YAP/TAZ via Hippo and non-Hippo mechanisms,0.13239893103078984,1,1.4954428189048756,22
wiki_pathway,Familial hyperlipidemia type 3,0.13441540740446828,1,1.740667085961828,3
wiki_pathway,ATM signaling in development and disease,0.13576389626448476,1,0.7734810872336046,24
wiki_pathway,MFAP5 effect on permeability and motility of endothelial cells via cytoskeleton rearrangement,0.1359514324882107,1,1.4335932067767292,13
wiki_pathway,Methionine de novo and salvage pathway,0.13693248082886347,1,0.5074681676897458,12
wiki_pathway,Melatonin metabolism and effects,0.13775310296923282,1,2.6704243381042367,7
wiki_pathway,"mRNA, protein, and metabolite inducation pathway by cyclosporin A",0.13908706058906492,1,1.566364982263032,4
wiki_pathway,Sterol regulatory element-binding proteins (SREBP) signaling,0.13960691112853388,1,1.1455154898260296,42
wiki_pathway,p53 transcriptional gene network,0.1423877969517097,1,1.2848713513192813,31
wiki_pathway,Sulfation biotransformation reaction,0.14241417025079045,1,1.5857005093176177,6
wiki_pathway,Hippocampal synaptogenesis and neurogenesis,0.14631387716906213,1,1.690731935149474,6
wiki_pathway,Pathways affected in adenoid cystic carcinoma,0.14718557789376044,1,0.44047013260863577,19
wiki_pathway,Hemesynthesis defects and porphyrias,0.14927990983220013,1,0.5282331879105602,5
wiki_pathway,Heme biosynthesis,0.14927990983220013,1,0.5282331879105602,5
wiki_pathway,Sphingolipid pathway,0.14940563930521142,1,1.4029948451741965,11
wiki_pathway,Somatroph axis (GH) and its relationship to dietary restriction and aging,0.1496950520076888,1,-0.17807529056728943,3
wiki_pathway,Modulation of PI3K-Akt-mTOR signaling by bioactive sphingolipids,0.15100757839583376,1,-0.17807529056728943,3
wiki_pathway,Transcription factors regulate miRNAs related to cardiac hypertrophy,0.15558495212244072,1,-0.4359721860737437,4
wiki_pathway,Prostaglandin synthesis and regulation,0.15731290560780462,1,0.6190065827405057,12
wiki_pathway,PKC-gamma calcium signaling pathway in ataxia,0.15734259829458228,1,0.23012006963037865,4
wiki_pathway,Extrafollicular B cell activation by SARS-CoV-2,0.15810132788450662,1,-0.2458564527900252,6
wiki_pathway,Fatty acid beta-oxidation,0.1596160845769728,1,1.2875993451995915,21
wiki_pathway,Pyrimidine metabolism,0.16180974678929544,1,0.8809307729682945,52
wiki_pathway,Homologous recombination,0.16386706441260587,1,1.651343274195284,5
wiki_pathway,16p11.2 proximal deletion syndrome,0.1649542543653635,1,0.655721715185128,37
wiki_pathway,Cellular proteostasis,0.16839202743824078,1,0.43026963180033007,6
wiki_pathway,DNA replication,0.1688022866018101,1,0.7487632220009919,28
wiki_pathway,Signal transduction through IL1R,0.1694959296714761,1,-0.5272099735388057,10
wiki_pathway,Notch signaling pathway,0.1708089148541592,1,1.5551229434477956,24
wiki_pathway,Ras signaling,0.17198843242838216,1,1.09587710488544,61
wiki_pathway,Pentose phosphate metabolism,0.17328771931930206,1,0.44079963757433743,7
wiki_pathway,Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling,0.17385035098271034,1,1.654945452210631,12
wiki_pathway,GDNF signaling,0.17519692697098785,1,1.1917578146149506,58
wiki_pathway,Dual hijack model of Vif in HIV infection,0.17523705191355796,1,0.45046759504659806,6
wiki_pathway,Cholesterol biosynthesis with skeletal dysplasias,0.17584572889457523,1,1.5793913774645092,6
wiki_pathway,Intracellular trafficking proteins involved in CMT neuropathy,0.1764734170291166,1,1.2688136694246235,14
wiki_pathway,Regulation of apoptosis by parathyroid hormone-related protein,0.17681027685615303,1,1.873872964655837,9
wiki_pathway,Wnt signaling pathway,0.1790381108062177,1,1.5516475389074333,21
wiki_pathway,Omega-3 / omega-6 fatty acid synthesis,0.179345531070473,1,1.2875993451995915,7
wiki_pathway,Aspirin and miRNAs,0.1829078099777247,1,-0.5173565054919465,3
wiki_pathway,Focal adhesion,0.18314634511914815,1,1.1615956041029107,72
wiki_pathway,Pre-implantation embryo,0.18433470481080264,1,0.5681813409412196,8
wiki_pathway,mRNA processing,0.1879501366436523,1,0.9169146663204061,105
wiki_pathway,Dravet syndrome,0.1922295394895645,1,0.1648833384922546,6
wiki_pathway,"DNA repair pathways, full network",0.19242036451276845,1,0.7913190193531987,57
wiki_pathway,Inhibition of exosome biogenesis and secretion by Manumycin A in CRPC cells,0.1968249166661535,1,1.520090403654271,12
wiki_pathway,Mitochondrial long chain fatty acid beta-oxidation,0.19691487639750976,1,1.4153634781949447,13
wiki_pathway,BMP signaling in eyelid development,0.1987160525685634,1,1.4810904156870477,5
wiki_pathway,Small cell lung cancer,0.20125703163316597,1,1.2757188467646223,34
wiki_pathway,ATM signaling pathway,0.20272648638841279,1,1.5027817362205174,7
wiki_pathway,Corticotropin-releasing hormone signaling pathway,0.20312607693095744,1,1.2242801710116178,37
wiki_pathway,Amino acid metabolism,0.20556984343174592,1,1.0072318445457091,62
wiki_pathway,Alstrom syndrome,0.21063566379262236,1,1.4023592045850772,13
wiki_pathway,Prostaglandin and leukotriene metabolism in senescence,0.21449606272000346,1,0.6713350439573598,5
wiki_pathway,Metastatic brain tumor,0.2149496853207673,1,1.598131526054451,3
wiki_pathway,miRNAs involved in DNA damage response,0.21706729873668945,1,1.505558866286186,4
wiki_pathway,Heart development,0.21752810827516705,1,2.2294255152930087,3
wiki_pathway,Nanoparticle triggered regulated necrosis,0.223294574579882,1,1.2124194066023333,6
wiki_pathway,Chemokine signaling pathway,0.22507395285021467,1,1.4079185336809146,52
wiki_pathway,Neovascularisation processes,0.22700569542752927,1,1.509565983042502,10
wiki_pathway,Non-homologous end joining,0.22744196075978523,1,0.5601266666401058,4
wiki_pathway,Transcriptional activation by NRF2 in response to phytochemicals,0.22778479163930226,1,1.3949899091460696,6
wiki_pathway,Complement and coagulation cascades,0.23084918105599225,1,0.20031880042089767,6
wiki_pathway,Gastric cancer network 1,0.23172799170708097,1,0.70033390099907,8
wiki_pathway,IL-5 signaling pathway,0.23308741549879253,1,1.4335932067767292,17
wiki_pathway,Cannabinoid receptor signaling,0.23437544468065827,1,0.08383382147543582,3
wiki_pathway,Cohesin complex - Cornelia de Lange syndrome,0.23782577583088735,1,0.8018435539348814,17
wiki_pathway,MFAP5-mediated ovarian cancer cell motility and invasiveness,0.2390592557949219,1,1.4335932067767292,7
wiki_pathway,Kit receptor signaling pathway,0.2396445355075162,1,1.39742778391447,28
wiki_pathway,IL-4 signaling pathway,0.24160769838553592,1,0.42443679847423055,19
wiki_pathway,IL-1 signaling pathway,0.2461609369820909,1,0.7730629977495425,25
wiki_pathway,Initiation of transcription and translation elongation at the HIV-1 LTR,0.24631383281576688,1,0.5922320857821198,17
wiki_pathway,Photodynamic therapy-induced NF-kB survival signaling,0.2521724515612806,1,-1.0195989011838773,5
wiki_pathway,Mammary gland development pathway - Puberty (Stage 2 of 4),0.25922282538409236,1,-0.7812361308027164,3
wiki_pathway,Ebstein-Barr virus LMP1 signaling,0.2605631031755667,1,0.3129573787333783,12
wiki_pathway,Hepatocyte growth factor receptor signaling,0.2612324607326274,1,1.5123306345257772,18
wiki_pathway,2q13 copy number variation syndrome,0.2663293755641263,1,0.5118198090273625,21
wiki_pathway,DDX1 as a regulatory component of the Drosha microprocessor,0.2701310322753837,1,1.6243469081884387,4
wiki_pathway,Transcription factor regulation in adipogenesis,0.2711305003898244,1,1.217755318332105,3
wiki_pathway,BDNF-TrkB signaling,0.2714297340560382,1,1.1805434843008196,16
wiki_pathway,Burn wound healing,0.2716346575088421,1,0.4899992296669814,3
wiki_pathway,Apoptosis-related network due to altered Notch3 in ovarian cancer,0.2796539442053627,1,0.8971745708092217,28
wiki_pathway,TYROBP causal network in microglia,0.2804177799962476,1,0.6134341578510288,10
wiki_pathway,Development of ureteric collection system,0.2825510960566674,1,1.4216880560121412,6
wiki_pathway,Neuroinflammation and glutamatergic signaling,0.28577892715434716,1,1.1136174277847695,38
wiki_pathway,Glycogen synthesis and degradation,0.28709589877826613,1,1.2540690263665313,18
wiki_pathway,MAPK pathway in congenital thyroid cancer,0.28944601782536444,1,1.4335932067767292,5
wiki_pathway,MAPK and NFkB signaling pathways inhibited by Yersinia YopJ,0.2903992398715388,1,-0.4588579706953893,5
wiki_pathway,Angiopoietin-like protein 8 regulatory pathway,0.29282148123356005,1,1.2055453700241239,45
wiki_pathway,Kennedy pathway from sphingolipids,0.29354692627670925,1,1.4456887605804507,8
wiki_pathway,Toll-like receptor signaling pathway,0.2957678828030346,1,0.73894183584732,27
wiki_pathway,Hippo-Merlin signaling dysregulation,0.29808033095170405,1,1.2179027303576837,32
wiki_pathway,Physiological and pathological hypertrophy of the heart,0.29893392037035144,1,1.3718197508561638,11
wiki_pathway,Extracellular vesicles in the crosstalk of cardiac cells,0.2996702158423664,1,0.766793964971841,8
wiki_pathway,Serotonin receptor 4/6/7 and NR3C signaling,0.300954593810657,1,1.088711463149092,7
wiki_pathway,Selenium micronutrient network,0.3012171658452395,1,0.765989963604397,27
wiki_pathway,Integrin-mediated cell adhesion,0.3051685982096977,1,1.0848568064888495,43
wiki_pathway,Regulation of sister chromatid separation at the metaphase-anaphase transition,0.3058968821414614,1,0.43529287614521367,6
wiki_pathway,Allograft rejection,0.3072803064490428,1,1.152838265772405,13
wiki_pathway,Type II diabetes mellitus,0.30929199172494026,1,2.1840936158889264,7
wiki_pathway,Spinal cord injury,0.31032665260302533,1,1.196698765270222,28
wiki_pathway,Serotonin transporter activity,0.31368479704524893,1,2.415356839371287,3
wiki_pathway,Phosphodiesterases in neuronal function,0.3202857020617679,1,0.5899232305280636,4
wiki_pathway,Resistin as a regulator of inflammation,0.32488180786694093,1,0.5118198090273625,15
wiki_pathway,Genetic causes of porto-sinusoidal vascular disease,0.32854641353805397,1,1.4335932067767292,11
wiki_pathway,IL1 and megakaryocytes in obesity,0.32873353002068806,1,-0.7812361308027164,3
wiki_pathway,Acquired partial lipodystrophy / Barraquer-Simons syndrome,0.3296680917382538,1,1.4177336061490373,7
wiki_pathway,GABA receptor signaling,0.3339153191092715,1,1.5453669118399582,8
wiki_pathway,Ciliary landscape,0.3344011888303551,1,1.1419478621363275,129
wiki_pathway,Mitochondrial complex IV assembly,0.3345814582942257,1,0.5424114546834237,23
wiki_pathway,Eukaryotic transcription initiation,0.33464640817392344,1,0.7573536033667027,25
wiki_pathway,Neurodegeneration with brain iron accumulation (NBIA) subtypes pathway,0.33692972002512755,1,1.0570304476075392,19
wiki_pathway,Autosomal recessive osteopetrosis pathways,0.33798377464361384,1,0.7797899373081952,3
wiki_pathway,G13 signaling pathway,0.34176302319145163,1,1.2099677889709064,20
wiki_pathway,OSX and miRNAs in tooth development,0.3420828238845805,1,1.5380415503979563,3
wiki_pathway,Hematopoietic stem cell gene regulation by GABP alpha/beta complex,0.3447981901229098,1,0.41821826145640656,7
wiki_pathway,Ectoderm differentiation,0.3449616643390367,1,0.8426048024163578,32
wiki_pathway,Target of rapamycin signaling,0.3502418256568645,1,0.7295133105919611,18
wiki_pathway,Tryptophan metabolism,0.35282171425336056,1,1.3366698754949367,9
wiki_pathway,Fatty acid transporters,0.3556111246445505,1,0.6591368968199407,6
wiki_pathway,Dopamine metabolism,0.3573216063187235,1,1.5328267324739542,7
wiki_pathway,Hypertrophy model,0.3576033689357465,1,0.5228599389416226,6
wiki_pathway,FGF23 signaling in hypophosphatemic rickets and related disorders,0.3586120676098873,1,1.6779682009929533,5
wiki_pathway,Malignant pleural mesothelioma,0.35892457512900783,1,1.1784887909142663,134
wiki_pathway,Metabolic reprogramming in colon cancer,0.3595663150266161,1,0.8423861801174474,42
wiki_pathway,Prolactin signaling pathway,0.3602731907508468,1,1.2055453700241239,37
wiki_pathway,Glucocorticoid receptor pathway,0.36256097763062023,1,1.214561685723523,8
wiki_pathway,2q21.1 copy number variation syndrome,0.3640397742458049,1,0.144915904669738,4
wiki_pathway,Mitochondrial fatty acid synthesis pathway,0.3655361154984339,1,1.4506433870139586,5
wiki_pathway,Clear cell renal cell carcinoma pathways,0.3658904115100023,1,0.8453747017193842,44
wiki_pathway,Purinergic signaling,0.36829172441543007,1,0.5940559938831,4
